Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Coby White,PG,20,CHI,32,32,33.1,5.8,13.9,.417,2.3,6.7,.349,3.5,7.2,.481,.501,1.9,2.1,.882,0.4,4.6,5.0,5.2,0.3,0.2,2.4,2.5,15.8
Derrick White,SG,26,SAS,8,4,23.6,4.3,10.8,.395,1.9,5.5,.341,2.4,5.3,.452,.483,1.4,1.9,.733,0.1,1.6,1.8,3.9,1.0,1.0,0.9,2.3,11.8
Hassan Whiteside,C,31,SAC,23,1,14.6,3.5,6.0,.580,0.0,0.0,.000,3.5,6.0,.584,.580,1.3,2.4,.545,1.6,4.2,5.7,0.5,0.3,1.3,1.0,1.8,8.3
Greg Whittington,PF,27,DEN,1,0,6.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,PF,25,GSW,35,35,32.1,6.5,14.1,.463,1.8,5.1,.348,4.8,9.1,.527,.525,2.3,3.4,.664,1.0,3.5,4.5,2.1,0.8,1.1,1.9,2.3,17.1
Grant Williams,PF,22,BOS,27,6,18.3,1.7,3.9,.443,0.9,2.1,.411,0.9,1.9,.480,.552,0.6,1.1,.517,0.9,1.9,2.9,0.9,0.4,0.4,1.0,2.8,4.9
Kenrich Williams,PF,26,OKC,34,6,18.6,2.5,4.6,.555,0.6,1.3,.422,2.0,3.2,.609,.616,0.4,0.7,.609,1.4,2.7,4.0,1.6,0.8,0.2,0.9,1.8,6.0
Lou Williams,PG,34,LAC,33,3,22.6,4.5,10.5,.425,1.1,2.8,.387,3.4,7.7,.439,.477,2.4,2.7,.867,0.4,2.0,2.4,3.7,0.9,0.1,1.5,0.9,12.4
Patrick Williams,PF,19,CHI,31,31,28.4,3.7,8.1,.464,0.9,2.3,.380,2.9,5.8,.497,.518,1.6,2.0,.810,0.9,4.0,4.9,1.2,0.8,0.7,1.5,2.2,10.0
Robert Williams,C,23,BOS,27,0,15.7,3.0,4.1,.714,0.0,0.0,.000,3.0,4.1,.721,.714,0.7,1.1,.621,2.3,3.5,5.7,1.0,1.0,1.4,1.0,1.9,6.6
Zion Williamson,PF,20,NOP,32,32,32.9,9.8,16.0,.615,0.2,0.6,.316,9.7,15.4,.627,.621,5.6,7.9,.709,2.6,4.4,7.1,3.3,0.9,0.7,2.5,2.4,25.5
D.J. Wilson,PF,24,MIL,10,0,9.4,1.4,3.7,.378,0.8,2.3,.348,0.6,1.4,.429,.486,0.1,0.2,.500,0.3,1.9,2.2,0.3,0.1,0.3,0.4,1.2,3.7
Dylan Windler,SF,24,CLE,20,0,18.8,2.3,4.8,.474,1.2,3.0,.390,1.1,1.8,.611,.595,1.0,1.2,.833,0.7,3.2,3.9,1.2,0.7,0.5,0.9,1.4,6.7
Justise Winslow,SF,24,MEM,4,0,22.3,4.0,11.0,.364,0.8,3.3,.231,3.3,7.8,.419,.398,1.5,2.5,.600,0.8,4.0,4.8,1.3,0.5,0.8,2.0,2.3,10.3
Cassius Winston,PG,22,WAS,6,0,7.3,0.7,1.7,.400,0.5,1.2,.429,0.2,0.5,.333,.550,0.3,0.3,1.000,0.0,0.7,0.7,1.0,0.0,0.2,0.2,0.7,2.2
James Wiseman,C,19,GSW,24,16,20.6,4.9,9.5,.515,0.4,1.0,.400,4.5,8.5,.529,.537,1.8,2.8,.632,1.4,4.5,5.9,0.6,0.4,1.1,1.5,3.2,12.0
Christian Wood,C,25,HOU,17,17,31.2,8.8,15.7,.558,1.9,4.5,.421,6.9,11.2,.613,.618,2.6,3.8,.688,1.8,8.4,10.2,1.3,0.9,1.5,1.8,1.9,22.0
Robert Woodard,SF,21,SAC,6,0,2.8,1.0,1.8,.545,0.2,0.5,.333,0.8,1.3,.625,.591,0.0,0.3,.000,0.5,0.8,1.3,0.0,0.0,0.0,0.2,0.0,2.2
Delon Wright,SG,28,DET,29,24,29.2,3.8,8.1,.468,1.0,2.5,.384,2.8,5.6,.506,.528,2.1,2.7,.785,1.1,3.5,4.6,4.9,1.4,0.5,1.2,1.1,10.7
Thaddeus Young,PF,32,CHI,28,0,25.1,5.5,9.1,.598,0.2,0.8,.227,5.3,8.4,.632,.607,0.8,1.5,.488,2.4,3.5,5.9,4.4,1.3,0.5,1.9,2.8,11.9
Trae Young,PG,22,ATL,32,32,34.8,7.8,18.1,.428,2.4,6.5,.368,5.3,11.6,.462,.495,8.6,9.8,.878,0.8,3.4,4.2,9.5,0.8,0.3,4.3,2.0,26.5
Cody Zeller,C,28,CHO,18,15,23.4,4.1,7.9,.514,0.2,1.1,.158,3.9,6.8,.569,.525,1.4,1.8,.758,2.6,5.0,7.6,2.4,0.6,0.6,1.1,2.6,9.7
Ivica Zubac,C,23,LAC,36,1,19.6,3.1,4.6,.669,0.0,0.0,.000,3.1,4.6,.673,.669,1.9,2.3,.819,2.2,4.6,6.8,1.1,0.4,0.8,1.0,2.5,8.1
